AnstroemwinkelKern;Artikelgewicht;Ausstossdruck;Ausstossgeschw;BeschaedigungDuese;BeschaedigungEinzungzone;Blasenbildung;BrueckeTrichter;Darmeffekt;DichtigkeitAKKU;DichtigkeitWBK;Drosselventil;DuesenKernkombination;DuesenwerkzugAufNull;DurchhaengenKont;Extruderdruck;ExtruderRPM;Gardineneffekt;GegendruckAKKU;Heizzone1;Heizzone10;Heizzone11;Heizzone12;Heizzone13;Heizzone14;Heizzone2;Heizzone3;Heizzone4;KontaminationDuese;KontaminationExtruder;KontaminationKopf;Kratzer;MatFeuchtigkeit;MilichigKalterSchlauchWolken;RauchQualm;RegeneratAnteil;Regeneratqualitaet;Schlauchkrempeln;Schlauchlaengenschwankungen;SchlauchlaufGeradeauslauf;Schlierenbildung;Schmelzbruch;Taktzeit;TempDuese;TempDueseKopf;TempDueseKopfAussen;TempExtruder;TempExtrudereinfuellzone;TempExtrudereinzug;TempKopf;TempRohstoff;UntSchlauchlaengenMehrfachkoepfe;VerbrRohstoffDuese;VerunreinRohstoff;VorformlingGlaenzend;WDSAnfangEnde;WDSmanuell;WDSSpruenge;WDSzuDuenn;ZentrierungDuese
niO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Nein;niO;iO;iO;niO;iO;Ja;mittel;niedrig;Nein;mittel;hoch;mittel;hoch;niedrig;hoch;niedrig;mittel;hoch;hoch;Nein;Nein;Nein;Ja;niO;Nein;Nein;niedrig;iO;Ja;Ja;Ja;Nein;Ja;mittel;niO;iO;niO;iO;niO;niO;iO;iO;Ja;Ja;Ja;Nein;niO;niO;Nein;Ja;iO
niO;iO;mittel;niedrig;Ja;Nein;Ja;Ja;Ja;niO;iO;niO;iO;iO;Ja;hoch;hoch;Nein;mittel;mittel;niedrig;hoch;mittel;niedrig;mittel;hoch;hoch;mittel;Nein;Nein;Nein;Ja;iO;Ja;Nein;mittel;niO;Nein;Ja;Ja;Nein;Nein;mittel;niO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;iO;Nein;Ja;niO
iO;iO;mittel;mittel;Ja;Nein;Ja;Ja;Ja;iO;iO;iO;iO;iO;Ja;mittel;mittel;Nein;mittel;mittel;mittel;hoch;hoch;niedrig;mittel;hoch;mittel;hoch;Nein;Nein;Nein;Nein;iO;Ja;Nein;mittel;iO;Nein;Ja;Nein;Nein;Nein;mittel;iO;iO;niO;iO;niO;niO;iO;zuniedrig;Ja;Nein;Nein;Nein;niO;niO;Ja;Ja;iO
iO;zuschwer;mittel;mittel;Ja;Ja;Ja;Ja;Ja;niO;iO;niO;iO;niO;Ja;hoch;hoch;Ja;mittel;mittel;mittel;hoch;hoch;hoch;hoch;mittel;hoch;hoch;Nein;Ja;Nein;Nein;niO;Ja;Nein;niedrig;iO;Ja;Nein;Nein;Nein;Nein;niedrig;niO;iO;niO;iO;iO;niO;iO;iO;Ja;Ja;Nein;Nein;iO;iO;Nein;Nein;niO
iO;iO;mittel;hoch;Ja;Nein;Nein;Ja;Ja;iO;iO;niO;iO;iO;Nein;hoch;hoch;Nein;mittel;niedrig;mittel;niedrig;mittel;niedrig;hoch;mittel;hoch;mittel;Ja;Ja;Nein;Nein;iO;Ja;Nein;mittel;niO;Ja;Ja;Nein;Ja;Nein;niedrig;iO;niO;iO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;niO;Nein;Ja;iO
niO;zuschwer;hoch;mittel;Ja;Nein;Ja;Ja;Ja;iO;iO;niO;iO;iO;Ja;mittel;hoch;Ja;niedrig;mittel;mittel;hoch;mittel;hoch;niedrig;mittel;mittel;mittel;Nein;Nein;Nein;Nein;iO;Ja;Nein;niedrig;iO;Nein;Ja;Ja;Nein;Ja;mittel;iO;niO;niO;niO;niO;niO;iO;zuniedrig;Ja;Ja;Ja;Nein;niO;iO;Ja;Ja;iO
niO;iO;mittel;hoch;Ja;Ja;Ja;Ja;Ja;niO;iO;niO;iO;niO;Ja;mittel;hoch;Nein;niedrig;mittel;niedrig;hoch;niedrig;niedrig;mittel;niedrig;hoch;niedrig;Ja;Ja;Nein;Ja;niO;Ja;Nein;hoch;iO;Nein;Ja;Ja;Nein;Nein;niedrig;iO;niO;niO;niO;niO;niO;iO;iO;Ja;Nein;Ja;Nein;iO;niO;Nein;Ja;niO
niO;iO;mittel;niedrig;Ja;Nein;Nein;Nein;Ja;niO;iO;niO;iO;iO;Ja;mittel;niedrig;Nein;mittel;niedrig;mittel;hoch;niedrig;hoch;hoch;mittel;hoch;mittel;Nein;Nein;Nein;Ja;niO;Ja;Nein;mittel;niO;Ja;Ja;Nein;Nein;Nein;niedrig;iO;niO;iO;iO;niO;iO;iO;zuniedrig;Ja;Ja;Ja;Nein;iO;niO;Nein;Ja;niO
niO;iO;hoch;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;iO;iO;Ja;mittel;hoch;Nein;niedrig;mittel;mittel;hoch;niedrig;hoch;niedrig;niedrig;niedrig;hoch;Nein;Nein;Nein;Ja;niO;Ja;Nein;mittel;niO;Ja;Ja;Nein;Ja;Nein;mittel;niO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;niO;niO;Nein;Ja;niO
niO;iO;mittel;hoch;Ja;Nein;Nein;Nein;Ja;iO;iO;niO;iO;iO;Ja;mittel;hoch;Nein;hoch;hoch;mittel;niedrig;mittel;niedrig;hoch;hoch;niedrig;hoch;Nein;Nein;Nein;Ja;iO;Ja;Nein;mittel;iO;Ja;Ja;Nein;Ja;Nein;hoch;iO;niO;niO;niO;iO;niO;iO;iO;Ja;Ja;Ja;Nein;iO;niO;Nein;Ja;iO
iO;iO;mittel;mittel;Ja;Nein;Nein;Ja;Ja;niO;iO;niO;iO;iO;Ja;mittel;hoch;Nein;mittel;mittel;mittel;niedrig;mittel;mittel;hoch;niedrig;mittel;hoch;Nein;Nein;Nein;Nein;iO;Ja;Nein;mittel;niO;Ja;Ja;Nein;Nein;Nein;mittel;niO;iO;niO;iO;niO;iO;iO;zuniedrig;Ja;Nein;Ja;Nein;iO;iO;Nein;Ja;iO
niO;iO;mittel;mittel;Ja;Nein;Ja;Ja;Ja;iO;iO;niO;iO;iO;Nein;hoch;niedrig;Nein;mittel;mittel;mittel;hoch;mittel;mittel;hoch;hoch;mittel;niedrig;Nein;Ja;Ja;Nein;niO;Nein;Nein;mittel;niO;Ja;Ja;Nein;Nein;Ja;niedrig;iO;niO;niO;iO;iO;niO;iO;zuniedrig;Ja;Ja;Ja;Nein;iO;niO;Ja;Ja;iO
iO;iO;mittel;niedrig;Ja;Nein;Ja;Ja;Ja;iO;iO;iO;iO;iO;Ja;mittel;mittel;Ja;mittel;mittel;hoch;hoch;mittel;hoch;niedrig;mittel;hoch;mittel;Ja;Nein;Nein;Nein;niO;Nein;Nein;hoch;iO;Ja;Ja;Nein;Ja;Nein;mittel;niO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;iO;niO;Nein;Nein;iO
niO;zuschwer;mittel;mittel;Nein;Nein;Nein;Ja;Ja;iO;iO;niO;niO;iO;Nein;mittel;niedrig;Nein;hoch;mittel;hoch;hoch;hoch;mittel;hoch;hoch;hoch;niedrig;Ja;Ja;Nein;Ja;niO;Ja;Nein;mittel;niO;Ja;Ja;Ja;Ja;Nein;hoch;iO;iO;niO;iO;niO;niO;iO;zuniedrig;Ja;Nein;Ja;Ja;iO;niO;Ja;Ja;niO
iO;iO;mittel;hoch;Ja;Nein;Nein;Ja;Ja;iO;iO;niO;iO;iO;Ja;mittel;hoch;Ja;hoch;hoch;mittel;hoch;mittel;mittel;mittel;hoch;niedrig;hoch;Nein;Nein;Nein;Nein;iO;Ja;Nein;mittel;iO;Ja;Ja;Ja;Nein;Nein;hoch;iO;niO;niO;niO;iO;niO;iO;iO;Ja;Ja;Ja;Nein;niO;niO;Nein;Ja;niO
iO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Ja;iO;iO;niO;iO;iO;Ja;hoch;niedrig;Nein;mittel;niedrig;mittel;niedrig;niedrig;mittel;mittel;mittel;niedrig;hoch;Nein;Nein;Nein;Ja;niO;Ja;Ja;hoch;niO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;iO;iO;Ja;Nein;iO
niO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Ja;iO;iO;niO;iO;niO;Ja;mittel;niedrig;Ja;mittel;mittel;mittel;mittel;hoch;hoch;mittel;mittel;niedrig;hoch;Ja;Nein;Nein;Nein;iO;Ja;Nein;niedrig;iO;Ja;Ja;Nein;Ja;Nein;hoch;iO;iO;niO;iO;iO;niO;iO;zuhoch;Nein;Ja;Ja;Nein;niO;niO;Ja;Ja;niO
iO;zuschwer;niedrig;hoch;Ja;Nein;Nein;Ja;Nein;iO;iO;iO;niO;iO;Ja;mittel;mittel;Nein;mittel;mittel;mittel;mittel;hoch;hoch;mittel;hoch;hoch;hoch;Ja;Nein;Nein;Nein;niO;Ja;Ja;mittel;niO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;niO;iO;iO;niO;iO;iO;Ja;Nein;Ja;Nein;niO;iO;Nein;Nein;iO
niO;iO;mittel;mittel;Ja;Ja;Nein;Nein;Ja;iO;iO;iO;niO;iO;Ja;niedrig;hoch;Nein;mittel;hoch;mittel;hoch;niedrig;mittel;mittel;mittel;hoch;niedrig;Ja;Nein;Nein;Nein;niO;Ja;Nein;niedrig;niO;Ja;Nein;Nein;Nein;Ja;mittel;iO;iO;niO;iO;iO;iO;iO;iO;Ja;Nein;Ja;Nein;iO;niO;Ja;Ja;iO
iO;zuschwer;mittel;mittel;Ja;Ja;Ja;Ja;Ja;iO;iO;niO;niO;iO;Ja;mittel;niedrig;Nein;hoch;mittel;hoch;niedrig;hoch;hoch;mittel;mittel;hoch;mittel;Ja;Nein;Nein;Nein;iO;Ja;Ja;mittel;iO;Ja;Ja;Ja;Nein;Nein;niedrig;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;niO;Nein;Ja;niO
iO;iO;mittel;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;iO;niO;Ja;hoch;mittel;Nein;hoch;mittel;niedrig;niedrig;hoch;mittel;hoch;mittel;niedrig;hoch;Ja;Ja;Nein;Nein;niO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Ja;Nein;hoch;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;niO;niO;Ja;Ja;iO
iO;iO;mittel;hoch;Nein;Ja;Ja;Ja;Ja;iO;iO;iO;iO;iO;Nein;mittel;hoch;Nein;mittel;mittel;mittel;hoch;niedrig;mittel;niedrig;hoch;niedrig;niedrig;Ja;Nein;Nein;Ja;niO;Ja;Nein;mittel;niO;Ja;Ja;Nein;Nein;Nein;mittel;niO;iO;iO;niO;iO;niO;iO;iO;Ja;Ja;Ja;Nein;iO;iO;Ja;Ja;niO
niO;zuleicht;mittel;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;niO;iO;Ja;mittel;hoch;Nein;mittel;hoch;niedrig;mittel;mittel;niedrig;hoch;hoch;mittel;mittel;Ja;Nein;Nein;Ja;niO;Ja;Ja;hoch;iO;Ja;Ja;Nein;Nein;Nein;mittel;iO;niO;niO;iO;niO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;iO;niO;Nein;Ja;niO
niO;iO;mittel;hoch;Ja;Nein;Nein;Nein;Ja;iO;iO;niO;iO;iO;Ja;mittel;hoch;Nein;mittel;mittel;mittel;niedrig;mittel;mittel;niedrig;mittel;hoch;mittel;Ja;Nein;Nein;Ja;niO;Nein;Nein;niedrig;iO;Ja;Ja;Nein;Nein;Nein;niedrig;iO;iO;iO;niO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;niO;niO;Ja;Ja;iO
iO;iO;mittel;niedrig;Nein;Nein;Ja;Nein;Ja;niO;iO;iO;niO;iO;Ja;mittel;niedrig;Nein;niedrig;mittel;hoch;hoch;niedrig;mittel;mittel;hoch;niedrig;niedrig;Ja;Nein;Nein;Ja;niO;Nein;Nein;hoch;niO;Ja;Ja;Ja;Nein;Nein;mittel;iO;niO;iO;niO;iO;niO;iO;zuniedrig;Ja;Ja;Ja;Nein;iO;niO;Ja;Ja;iO
niO;iO;mittel;mittel;Ja;Nein;Ja;Ja;Ja;iO;iO;niO;iO;iO;Ja;mittel;hoch;Nein;mittel;hoch;hoch;hoch;niedrig;mittel;mittel;mittel;hoch;hoch;Nein;Nein;Nein;Ja;niO;Ja;Ja;hoch;iO;Ja;Ja;Nein;Ja;Nein;hoch;iO;iO;iO;iO;niO;iO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;iO;Nein;Ja;iO
iO;iO;mittel;mittel;Nein;Nein;Nein;Ja;Ja;iO;iO;iO;niO;iO;Ja;mittel;hoch;Ja;mittel;mittel;mittel;hoch;hoch;hoch;hoch;mittel;mittel;mittel;Nein;Nein;Nein;Ja;niO;Ja;Ja;niedrig;iO;Ja;Ja;Nein;Nein;Ja;hoch;iO;niO;iO;iO;iO;niO;iO;zuniedrig;Ja;Ja;Ja;Nein;iO;niO;Nein;Ja;niO
niO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Ja;iO;niO;iO;iO;iO;Ja;mittel;niedrig;Ja;mittel;mittel;mittel;hoch;niedrig;niedrig;hoch;niedrig;hoch;hoch;Nein;Nein;Nein;Nein;iO;Ja;Nein;niedrig;iO;Ja;Ja;Nein;Nein;Nein;hoch;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;niO;niO;Nein;Ja;niO
niO;zuschwer;mittel;niedrig;Ja;Nein;Nein;Nein;Ja;iO;iO;niO;niO;iO;Ja;niedrig;hoch;Ja;mittel;niedrig;hoch;niedrig;hoch;hoch;mittel;niedrig;hoch;hoch;Nein;Nein;Nein;Nein;iO;Ja;Ja;niedrig;niO;Ja;Ja;Nein;Nein;Nein;mittel;niO;iO;niO;iO;niO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;niO;Ja;Ja;iO
iO;zuschwer;mittel;mittel;Ja;Nein;Nein;Nein;Ja;iO;iO;niO;niO;niO;Nein;mittel;mittel;Nein;niedrig;mittel;niedrig;hoch;hoch;hoch;mittel;hoch;mittel;mittel;Nein;Nein;Nein;Ja;niO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;iO;niO;niO;iO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;niO;Ja;Ja;iO
iO;iO;mittel;mittel;Nein;Ja;Ja;Ja;Ja;iO;iO;iO;iO;iO;Nein;mittel;hoch;Ja;mittel;mittel;mittel;mittel;mittel;mittel;niedrig;mittel;hoch;mittel;Ja;Nein;Nein;Ja;niO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Ja;Nein;hoch;iO;iO;niO;niO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;niO;Ja;Nein;niO
iO;zuschwer;mittel;mittel;Ja;Nein;Nein;Ja;Ja;iO;iO;iO;iO;iO;Ja;hoch;hoch;Nein;mittel;hoch;niedrig;mittel;hoch;mittel;niedrig;hoch;hoch;hoch;Nein;Nein;Ja;Nein;niO;Ja;Nein;niedrig;niO;Ja;Nein;Nein;Nein;Nein;niedrig;iO;niO;niO;iO;iO;niO;iO;zuniedrig;Ja;Ja;Ja;Nein;iO;niO;Ja;Nein;niO
niO;iO;mittel;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;niO;niO;Ja;hoch;mittel;Nein;mittel;niedrig;mittel;niedrig;hoch;niedrig;mittel;mittel;mittel;niedrig;Ja;Nein;Nein;Ja;iO;Ja;Ja;mittel;iO;Ja;Ja;Nein;Nein;Ja;hoch;iO;iO;iO;niO;iO;niO;iO;zuhoch;Ja;Ja;Nein;Nein;iO;niO;Nein;Ja;niO
iO;iO;mittel;hoch;Ja;Nein;Nein;Nein;Ja;niO;iO;niO;iO;niO;Nein;hoch;hoch;Nein;hoch;mittel;hoch;niedrig;niedrig;mittel;mittel;mittel;niedrig;mittel;Ja;Ja;Nein;Ja;niO;Ja;Nein;niedrig;iO;Nein;Ja;Ja;Nein;Nein;mittel;niO;niO;iO;iO;iO;niO;iO;iO;Ja;Ja;Nein;Nein;niO;niO;Nein;Ja;iO
niO;iO;hoch;mittel;Nein;Ja;Ja;Nein;Ja;niO;iO;niO;iO;iO;Nein;niedrig;mittel;Nein;hoch;mittel;mittel;mittel;mittel;hoch;niedrig;hoch;hoch;mittel;Ja;Nein;Nein;Ja;niO;Ja;Ja;niedrig;iO;Ja;Ja;Nein;Ja;Nein;mittel;niO;iO;niO;iO;iO;niO;niO;iO;Ja;Ja;Ja;Nein;niO;niO;Ja;Ja;niO
iO;iO;mittel;mittel;Ja;Nein;Nein;Nein;Ja;niO;iO;niO;iO;niO;Ja;mittel;mittel;Nein;mittel;hoch;mittel;hoch;mittel;niedrig;mittel;mittel;hoch;hoch;Nein;Nein;Nein;Ja;niO;Nein;Nein;hoch;niO;Ja;Nein;Ja;Nein;Nein;hoch;iO;iO;niO;iO;niO;niO;iO;zuniedrig;Ja;Nein;Ja;Nein;niO;niO;Nein;Nein;niO
niO;iO;mittel;mittel;Ja;Ja;Ja;Nein;Ja;niO;iO;niO;niO;iO;Ja;niedrig;hoch;Ja;mittel;mittel;mittel;hoch;mittel;hoch;mittel;mittel;hoch;niedrig;Nein;Nein;Nein;Nein;niO;Nein;Ja;mittel;niO;Ja;Ja;Nein;Ja;Nein;hoch;iO;iO;niO;niO;niO;niO;iO;zuniedrig;Ja;Ja;Ja;Ja;iO;iO;Nein;Ja;niO
niO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Ja;iO;iO;iO;iO;niO;Nein;mittel;niedrig;Ja;mittel;mittel;mittel;mittel;hoch;hoch;mittel;mittel;hoch;mittel;Ja;Nein;Nein;Nein;niO;Ja;Nein;hoch;iO;Ja;Nein;Nein;Nein;Nein;niedrig;niO;iO;niO;iO;niO;iO;iO;zuhoch;Nein;Nein;Ja;Nein;niO;iO;Nein;Nein;niO
niO;zuschwer;mittel;hoch;Ja;Ja;Nein;Ja;Ja;iO;iO;niO;iO;niO;Ja;mittel;hoch;Nein;mittel;mittel;mittel;mittel;niedrig;hoch;hoch;hoch;niedrig;mittel;Ja;Nein;Nein;Ja;iO;Ja;Nein;hoch;iO;Ja;Ja;Ja;Ja;Nein;hoch;iO;niO;iO;niO;niO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;iO;Ja;Ja;niO
niO;iO;mittel;hoch;Ja;Ja;Ja;Ja;Ja;iO;iO;niO;iO;iO;Ja;mittel;niedrig;Nein;mittel;hoch;hoch;niedrig;mittel;mittel;hoch;hoch;hoch;mittel;Nein;Nein;Ja;Nein;niO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Nein;Nein;hoch;niO;iO;iO;niO;iO;niO;iO;iO;Ja;Nein;Nein;Nein;iO;niO;Ja;Ja;niO
iO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Ja;niO;iO;iO;iO;niO;Ja;hoch;hoch;Nein;hoch;hoch;mittel;hoch;hoch;mittel;hoch;niedrig;mittel;mittel;Ja;Nein;Nein;Ja;iO;Ja;Ja;niedrig;niO;Ja;Ja;Nein;Ja;Nein;hoch;iO;iO;iO;niO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;niO;Ja;Ja;niO
niO;iO;mittel;mittel;Ja;Nein;Nein;Ja;Ja;iO;iO;iO;iO;iO;Nein;mittel;hoch;Nein;mittel;hoch;mittel;mittel;niedrig;mittel;mittel;mittel;hoch;mittel;Nein;Nein;Nein;Ja;niO;Ja;Nein;niedrig;niO;Nein;Ja;Nein;Nein;Nein;hoch;iO;iO;niO;niO;iO;niO;iO;zuhoch;Nein;Nein;Ja;Nein;iO;iO;Nein;Ja;iO
niO;iO;mittel;hoch;Ja;Nein;Ja;Nein;Ja;niO;iO;niO;niO;iO;Ja;mittel;hoch;Nein;niedrig;mittel;hoch;niedrig;mittel;hoch;mittel;mittel;mittel;niedrig;Ja;Nein;Nein;Ja;iO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Ja;Nein;niedrig;iO;iO;niO;iO;iO;niO;niO;zuhoch;Ja;Ja;Ja;Nein;iO;niO;Ja;Ja;niO
niO;iO;hoch;mittel;Ja;Nein;Ja;Ja;Ja;iO;niO;iO;iO;iO;Ja;hoch;hoch;Nein;hoch;hoch;mittel;niedrig;hoch;mittel;niedrig;niedrig;niedrig;hoch;Ja;Nein;Nein;Nein;niO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;niO;iO;iO;niO;iO;zuhoch;Nein;Nein;Ja;Nein;niO;niO;Nein;Ja;iO
niO;iO;mittel;mittel;Ja;Ja;Ja;Ja;Ja;niO;iO;niO;iO;iO;Ja;mittel;mittel;Nein;mittel;hoch;mittel;niedrig;mittel;hoch;hoch;mittel;niedrig;mittel;Ja;Nein;Nein;Nein;niO;Ja;Nein;niedrig;iO;Ja;Ja;Ja;Nein;Nein;hoch;iO;iO;niO;niO;niO;niO;niO;zuniedrig;Ja;Nein;Nein;Nein;iO;niO;Ja;Ja;niO
niO;iO;mittel;mittel;Ja;Ja;Ja;Ja;Ja;niO;iO;iO;niO;iO;Nein;mittel;hoch;Nein;niedrig;hoch;mittel;mittel;mittel;mittel;niedrig;niedrig;hoch;hoch;Ja;Nein;Nein;Ja;niO;Ja;Nein;hoch;iO;Ja;Ja;Nein;Nein;Ja;niedrig;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;niO;Ja;Ja;niO
niO;iO;mittel;mittel;Ja;Nein;Nein;Nein;Ja;iO;niO;iO;niO;iO;Nein;hoch;niedrig;Nein;mittel;hoch;mittel;hoch;mittel;hoch;niedrig;hoch;hoch;mittel;Ja;Nein;Ja;Ja;niO;Ja;Nein;mittel;iO;Ja;Ja;Ja;Ja;Nein;hoch;niO;iO;iO;niO;iO;niO;iO;iO;Ja;Ja;Ja;Nein;niO;iO;Ja;Ja;niO
iO;iO;mittel;hoch;Ja;Nein;Ja;Nein;Ja;niO;iO;niO;niO;iO;Ja;mittel;niedrig;Ja;mittel;niedrig;hoch;hoch;niedrig;hoch;mittel;mittel;mittel;mittel;Ja;Nein;Nein;Ja;niO;Nein;Nein;mittel;niO;Ja;Ja;Ja;Ja;Nein;hoch;niO;iO;iO;iO;iO;niO;iO;iO;Ja;Nein;Nein;Nein;iO;niO;Ja;Nein;niO
niO;iO;mittel;mittel;Nein;Nein;Ja;Nein;Ja;iO;iO;niO;iO;iO;Ja;mittel;hoch;Nein;niedrig;mittel;hoch;hoch;mittel;mittel;mittel;hoch;mittel;mittel;Nein;Nein;Nein;Nein;niO;Ja;Nein;mittel;iO;Ja;Ja;Nein;Nein;Nein;hoch;iO;iO;niO;iO;iO;niO;iO;zuniedrig;Ja;Ja;Ja;Ja;niO;iO;Nein;Ja;iO
niO;iO;hoch;mittel;Ja;Nein;Nein;Ja;Ja;niO;iO;iO;iO;iO;Ja;niedrig;hoch;Nein;mittel;mittel;hoch;mittel;hoch;hoch;hoch;mittel;hoch;hoch;Nein;Nein;Nein;Nein;niO;Ja;Nein;mittel;iO;Ja;Ja;Nein;Nein;Nein;hoch;iO;iO;niO;niO;iO;niO;iO;iO;Ja;Nein;Ja;Nein;iO;iO;Nein;Ja;niO
iO;iO;mittel;mittel;Ja;Ja;Nein;Ja;Nein;niO;iO;niO;iO;iO;Ja;niedrig;hoch;Nein;mittel;mittel;mittel;hoch;mittel;mittel;mittel;mittel;mittel;niedrig;Nein;Nein;Nein;Ja;niO;Nein;Nein;mittel;iO;Ja;Ja;Nein;Ja;Ja;mittel;iO;niO;iO;niO;niO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;iO;Ja;Ja;iO
niO;zuschwer;mittel;mittel;Nein;Ja;Ja;Ja;Ja;iO;iO;niO;iO;iO;Ja;hoch;niedrig;Nein;mittel;hoch;mittel;hoch;hoch;mittel;mittel;mittel;mittel;hoch;Ja;Nein;Nein;Nein;niO;Nein;Nein;hoch;iO;Ja;Nein;Nein;Nein;Nein;hoch;iO;iO;niO;niO;iO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;iO;niO;Nein;Ja;iO
niO;zuschwer;mittel;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;iO;iO;iO;Ja;hoch;hoch;Nein;mittel;mittel;hoch;hoch;mittel;mittel;hoch;mittel;hoch;mittel;Nein;Nein;Ja;Ja;niO;Ja;Nein;hoch;niO;Ja;Nein;Ja;Nein;Nein;mittel;iO;iO;niO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;niO;iO;Ja;Ja;iO
iO;iO;mittel;mittel;Ja;Nein;Ja;Ja;Ja;niO;iO;niO;niO;iO;Nein;hoch;mittel;Nein;mittel;mittel;hoch;hoch;niedrig;mittel;mittel;mittel;hoch;mittel;Ja;Nein;Nein;Ja;iO;Ja;Ja;hoch;niO;Nein;Ja;Ja;Ja;Nein;mittel;niO;iO;niO;iO;iO;niO;niO;zuhoch;Ja;Nein;Ja;Nein;iO;niO;Nein;Ja;iO
niO;zuleicht;mittel;mittel;Nein;Nein;Nein;Ja;Ja;niO;iO;niO;iO;niO;Nein;mittel;hoch;Ja;mittel;hoch;hoch;hoch;mittel;niedrig;mittel;niedrig;niedrig;mittel;Nein;Nein;Nein;Nein;iO;Nein;Nein;mittel;niO;Ja;Ja;Nein;Nein;Nein;mittel;niO;iO;niO;niO;iO;niO;iO;iO;Ja;Ja;Ja;Nein;niO;niO;Nein;Ja;iO
iO;zuschwer;mittel;mittel;Ja;Nein;Nein;Nein;Ja;iO;iO;niO;iO;iO;Ja;mittel;mittel;Nein;mittel;hoch;hoch;hoch;niedrig;mittel;mittel;hoch;hoch;hoch;Ja;Nein;Nein;Nein;iO;Ja;Nein;hoch;niO;Nein;Ja;Ja;Nein;Nein;mittel;iO;iO;niO;iO;iO;niO;niO;zuhoch;Ja;Ja;Ja;Nein;iO;niO;Nein;Ja;iO
iO;iO;niedrig;mittel;Ja;Ja;Nein;Nein;Ja;iO;niO;iO;niO;iO;Ja;hoch;hoch;Nein;mittel;mittel;mittel;hoch;mittel;niedrig;mittel;mittel;hoch;niedrig;Ja;Nein;Nein;Nein;niO;Nein;Ja;mittel;niO;Ja;Ja;Nein;Nein;Nein;mittel;iO;iO;iO;iO;iO;niO;iO;zuhoch;Ja;Nein;Ja;Nein;iO;iO;Ja;Nein;iO
iO;iO;mittel;mittel;Ja;Nein;Ja;Nein;Ja;iO;iO;niO;iO;iO;Ja;niedrig;niedrig;Nein;hoch;mittel;hoch;hoch;hoch;hoch;mittel;mittel;mittel;hoch;Nein;Ja;Nein;Ja;iO;Nein;Nein;hoch;iO;Ja;Ja;Nein;Nein;Ja;niedrig;iO;iO;niO;niO;iO;niO;iO;zuhoch;Nein;Ja;Nein;Ja;iO;iO;Ja;Ja;niO
iO;iO;hoch;hoch;Nein;Nein;Ja;Ja;Ja;iO;iO;iO;niO;iO;Ja;hoch;niedrig;Ja;mittel;hoch;mittel;hoch;mittel;hoch;mittel;mittel;mittel;hoch;Ja;Nein;Nein;Nein;niO;Ja;Nein;mittel;iO;Ja;Ja;Nein;Nein;Nein;hoch;iO;iO;niO;iO;niO;niO;iO;zuhoch;Ja;Ja;Ja;Nein;iO;niO;Ja;Ja;iO
